TITLE,CONFERENCE,GITHUB,AWARDS
Frog Relayer,ETHGlobal Istanbul,https://github.com/RayHuang880301/permissionless-intent-based-relayer-contract,Pool Prize
Liquidator,ETHGlobal Istanbul,https://github.com/liquiditylibs,Pool Prize
Protocol GPT,ETHGlobal Istanbul,https://github.com/solity-research/ethIstanbul,Pool Prize
AidDistribute,ETHGlobal Istanbul,https://github.com/Sednaoui/ethglobal-hack-istanbul-2023,Pool Prize
ETH Drive,ETHGlobal Istanbul,https://github.com/yusakuvol/ETH-Drive,🏊 Filecoin — Pool Prize
Cleanify,ETHGlobal Istanbul,https://github.com/CleanifyOrg/cleanify,Pool Prize
zKube,ETHGlobal Istanbul,https://github.com/0xMycenaean/zKubes,Deploy on Scroll
Pepe's Computation,ETHGlobal Istanbul,https://github.com/TUM-Blockchain-Club/zkGame,Best overall Noir application or library
Web Tree,ETHGlobal Istanbul,https://github.com/Tetration-Lab/webtree,Innovation Pool Prize
ZurnaAI,ETHGlobal Istanbul,https://github.com/MuratCaganGogebakan/ZurnaAI,Deploy on Scroll
Karvest,ETHGlobal Istanbul,https://github.com/karvest-finance/karvest,Innovate on Gnosis Chain
Wafting Whispers,ETHGlobal Istanbul,https://github.com/holoi/wafting-whispers,Web3 On-Chain Gaming Dapps based on Next.ID
Impulsea,ETHGlobal Istanbul,https://github.com/Impulsea,Pool Prize
dETHroll,ETHGlobal Istanbul,https://github.com/unbound26z/dETHroll,Pool Prize
K3ys,ETHGlobal Istanbul,https://github.com/keys-connect/app,Innovation Pool Prize
ZK Gesture,ETHGlobal Istanbul,https://github.com/rohanabraham/ZK-Gesture,Top 5 - Best App Built on Leo
Chat Swap,ETHGlobal Istanbul,https://github.com/byzantine-fault/ChatSwap,Innovation Pool Prize
Clave Watch,ETHGlobal Istanbul,https://github.com/getclave/clave-watch,Honorary Mention
BetMakers,ETHGlobal Istanbul,https://github.com/orgs/BetMakers,Pool Prize
ZeroX Gaming,ETHGlobal Istanbul,https://github.com/williamh-zx/eth-istanbul,Pool Prize
Trust Fund Baby,ETHGlobal Istanbul,https://github.com/x24870/trustFundBaby,Pool Prize
WorldWote,ETHGlobal Istanbul,https://github.com/WorldWote/wote-app,Deploy on Scroll
Pulse,ETHGlobal Istanbul,https://github.com/PaoloRollo/pulse,Cappadocia Hot air Balloon
Decentralized Intent,ETHGlobal Istanbul,https://github.com/bobetbat/fusion-p2p,🥉 1inch — Best Innovation on Fusion API
play with frens,ETHGlobal Istanbul,https://github.com/resatu/play-w-frens,Innovation Pool Prize
ParkedUp,ETHGlobal Istanbul,https://github.com/mxber2022/EthGlobalIstanbul,Innovation Pool Prize
PodShpere,ETHGlobal Istanbul,https://github.com/timothyshen/PodSPhere,🏊 Filecoin — Pool Prize
SquadFi,ETHGlobal Istanbul,https://github.com/505-solutions/SquadFi,Innovation Pool Prize
Pro-ActivePGF,ETHGlobal Istanbul,https://github.com/jdubpark/WordRealmForGood,Pool Prize
WhoWantsToBeSultan,ETHGlobal Istanbul,https://github.com/claudioBarreira89/who-wants-to-be-a-sultan,Innovation Pool Prize
Whaly,ETHGlobal Istanbul,https://github.com/SweetBubalehj/Whaly,Pool Prize
TradeSphere,ETHGlobal Istanbul,https://github.com/kamalbuilds/TradeSphere,🥉 1inch — Best Use of Dev Portal APIs
EXAMINA,ETHGlobal Istanbul,https://github.com/Alsond5/examina_api,🏅 4th Place
MonaLizard,ETHGlobal Istanbul,https://github.com/Pratham-19/ethIstanbul,Innovation Pool Prize
LayerAkira,ETHGlobal Istanbul,https://github.com/LayerAkira/reoccuring_lottery,3rd Place
BLOOM,ETHGlobal Istanbul,https://github.com/Bloom-Org/.github,2nd Place
Themis: ZKML Loyalty,ETHGlobal Istanbul,https://github.com/CenitFinance/ethglobal_istanbul_2023,Pool Prize
PEPC-REP,ETHGlobal Istanbul,https://github.com/adachi-440/pepc-rep,2nd Place
Keditrees,ETHGlobal Istanbul,https://github.com/HDehka/Keditrees,Deploy on Scroll
CoB,ETHGlobal Istanbul,https://github.com/cesarhuret/cob,🎼 Hyperlane — 2nd Best Interchain App
Chockolatam,ETHGlobal Istanbul,https://github.com/kadirchan/chockolatam,Pool Prize
SmartDAO,ETHGlobal Istanbul,https://github.com/ulkuaydin/SmartDao,Pool Prize
LendGuard,ETHGlobal Istanbul,https://github.com/Lend-Guard/LendGuardHello,Pool Prize
AssetFuse,ETHGlobal Istanbul,https://github.com/lamtrinh259/ETHGlobal_Istanbul_RWA_Infra,Pool Prize
BlockBet,ETHGlobal Istanbul,https://github.com/blockbet-collective/blockbet,Pool Prize
